,text_clean,coding
3799,commitment democracy good,democracy
3800,however directed far clearly effective development programmes within united nations framework increase soon economic circumstances permit,development
3801,development programme united nations,development
3802,support efforts economic community west,development
3803,issue,un
3804,treatment hivaids today number nearly,security
3805,problem civilized method dialogue,security
3806,even world attempts revive efforts,security
3807,history convincingly demonstrated face strength peoples determined fight defence independence peace freedom superpowers weak powerless,democracy
3808,end independence made,security
3809,therefore build momentum achieved doha,development
3810,recent election displacing leader,democracy
3811,progress talks held united states position practice amounts demand unilateral disarmament soviet union arsenals mediumrange nuclear weapons nato countries would remain intact,security
3812,institutional governance established advisory,un
3813,treaty organization shanghai cooperation,development
3814,stated thus position accommodate suggestion would respect principal elements,un
3815,reduce arms buildup,security
3816,government national accord striving find solutions difficult living conditions lack services libyans facing,development
3817,conditions defined summit outcome document,development
3818,dangerous gap exists countries,development
3819,republic,security
3820,nurturing ground intolerance confrontation,security
3821,deflationary policies pursued,development
3822,peacekeepers slain since beginning year,security
3823,culture home faith,human
3824,delineation vision middle east,security
3825,particular refer need enhancing,un
3826,contribute person according ability,un
3827,therefore exert every effort finalize negotiations,un
3828,fund collaborating agencies,un
3829,resolution disputes,security
3830,peace tolerance harmony intrinsic nepali culture way life,democracy
3831,national boundaries world becomes one,security
3832,held place played role history,un
3833,responsibility,un
3834,nation states,security
3835,already witnessed citizens several,human
3836,recent establishment new,security
3837,core entire problem southern africa apartheid economic political social ethical justification passes government southern africa,democracy
3838,order take action national level keeping international obligations argentina substantially reduced military expenditures,security
3839,crucial national efforts aimed addressing,un
3840,homes,human
3841,poland vitally interested expansion comprehensive cooperation countries asia africa latin america,development
3842,notes working relationship security council secretarygeneral rarely ever closer,un
3843,members international conference great,un
3844,also great importance includes among,un
3845,international cooperation among governments,development
3846,answers key issues,development
3847,reported dying day,greeting
3848,central europe reduced,security
3849,part industrialized countries,development
3850,twostates solution,security
3851,mr papandreou statement made,development
3852,none less need consideration,security
3853,decision governments make contact creates dynamic,security
3854,instance denmark intends contribute million support establishment,development
3855,call give racists succour support join civilized world ostracizing pariah state nonracial regime comes power south africa,un
3856,stability since perception threat triggers actions,security
3857,malta suggests positive,security
3858,basic prerequisite establishment lasting peace restoration rights palestinian people including right establish state,security
3859,implemented also supplemented national,security
3860,wider strategies mutual containment,security
3861,kenyans saddened great suffering,security
3862,planet equally eager happiness,greeting
3863,assistance amounts assistance,development
3864,composition states past unlikely,development
3865,nevertheless fight also necessary,security
3866,real threat,security
3867,regrouped made real progress path,security
3868,zionism benefited international circumstances palestinians party united nations resolution partitioning palestine resolution ii adopted,security
3869,fully aware proposals initiatives put forward overcome serious debt problems paralyse many third world countries,development
3870,us work together benefit mankind,security
3871,demographic transition inclusive economic,development
3872,ongoing conflicts see around world take control breed terrorism knows bounds,security
3873,shortcut future,development
3874,government suriname commends efforts central american presidents bring regional peace treaty,security
3875,often said derisively selfdetermination would lead fragmentation chaos,security
3876,one line remains pursued us together moving common goal,development
3877,social character,development
3878,election mr boutros boutrosghali already demonstrated effectiveness,greeting
3879,fighting international terrorism,security
3880,key,development
3881,promptitude,development
3882,granted,development
3883,admission result realistic courageous policy followed leaders states,democracy
3884,duty share experiences know,un
3885,delegation categorically rejects preposterousclaim informed united nations high commissioner accordingly,un
3886,broadband spectrum management,development
3887,take destiny hands,un
3888,deeply concerned enormous overall capacity existing nuclear arsenals qualitative improvements progressively undergoing,security
3889,tunisia renews commitment undertaking efforts initiative president essebsi full cooperation brother countries egypt algeria assist libyan brothers overcoming differences,greeting
3890,increasing crisis international political economic relations reflects slow painful progress nations mankind,development
3891,able leadership mr yasushi akashi special,greeting
3892,turned engaging orgy massacre,security
3893,unity matter fact keeping longstanding,un
3894,indecisiveness regard implementing united,un
3895,security providing necessary tools,security
3896,serve coffee,security
3897,last year kazakhstan became first,development
3898,long acknowledged,development
3899,thus assured beforehand success work,security
3900,life whatever title order ensure,un
3901,regrettable general assemblys efforts aimed,un
3902,work members society effective exercise right,un
3903,promote fundamental values peace democracy,security
3904,nonpermanent categories,development
3905,renew countrys support efforts achieve two state solution guaranteeing viable palestinian state attributes full international sovereignty living side side perfect harmony state israel,security
3906,secretarygeneral united nations mr kurt waldheim exemplary introduction report work organization addl summed focused attention major areas vjnited nations achievements concerns,un
3907,half year number highlevel openended,development
3908,prevention laundering money goods,security
3909,truly capital,development
3910,model tolerance mutual respect coexistence,greeting
3911,compared per cent weak recovery,un
3912,development,development
3913,rapid events seen recently remind us wellknown idea change constant element history,security
3914,tonga welcomes timely theme general,security
3915,country wishes,human
3916,means food clothing housing schools jobs provided billion people,development
3917,security council allocate two new permanent seats,un
3918,government iraq implement united nations,un
3919,standards society may fall without offending fundamental values,un
3920,prosperous country,democracy
3921,initiative end,security
3922,rwanda firmly supports position oau calls general assembly take decisions rectify situation guarantee truly democratic elections namibian brothers assemblys fortyfifth session namibia leadership south west africa peoples organization swapo come rostrum one hundred sixtieth member united nations,greeting
3923,african union commend,greeting
3924,universalism particular interests identities,un
3925,also want say championed capitalism past years capitalism failed,development
3926,relevant working group openended,un
3927,may recall connection,un
3928,mitigation adaptation,security
3929,independence sovereignty territorial integrity,security
3930,human rights,human
3931,comprehensive agreement takes account,security
3932,international community,security
3933,unequivocal support mauritius india,greeting
3934,direction convinced always preferable,greeting
3935,saint lucia challenges united nations system,un
3936,vanuatu affect economies opening,development
3937,although,un
3938,general assembly,un
3939,development agenda beyond,development
3940,future generations,development
3941,seeking one acceptable avoiding ambiguities,human
3942,must consistently take new trends technology,development
3943,kuwait following grave concern,development
3944,discuss secretarygenerals report iraqs,security
3945,sustainable development approved sixty,development
3946,assembly commit necessary administrative,un
3947,reach concrete agreements may allow gatt,un
3948,gains socialism latin american peoples,development
3949,united nations help establish communications system important data rapidly exchanged internationally,development
3950,regard among issues constitution vast area,un
3951,believe achievement objectives,development
3952,organization,un
3953,address impact climate change,development
3954,millennium development goals seek new resources,development
3955,countries,security
3956,benefit countries region european,security
3957,mr president would ungracious representative algeria associate compliments paid perhaps best placed estimate much compliments justified extent personally merited,un
3958,two years ago chance advocate behalf generation chair delegation participated work leading adoption first security council resolution youth,human
3959,current year yet witnessed noticeable improvement international economic situation,development
3960,many conflicts arisen since creation united nations head list find palestinian tragedy,security
3961,country botswana seventh,security
3962,duty react,un
3963,must remember also people namibia resorted armed struggle many years ago peaceful alternative,human
3964,administration deserve full credit actually initiating,un
3965,complementary,development
3966,early exploitation mineral agricultural,development
3967,society livelihood means growth,development
3968,future eager make specific,development
3969,children including recent fourth,development
3970,include implementation people,security
3971,development assistance,development
3972,towards brotherly people east timor,greeting
3973,would guarantee success,security
3974,phenomena increasingly keeping,development
3975,could better way found revive iraqs diminishing political image aerial raid zionist bombers,un
3976,future awaiting children chafing,development
3977,south africa must return territory united nations without delay respect territorial integrity,security
3978,active support members bring us closer,security
3979,multilateral disarmament nonproliferation treaties,security
3980,council meeting devoted africa president robert,democracy
3981,really begun improve economic situation,development
3982,peaceful coexistence nations fair open trade,security
3983,fortyseventh session united nations general assembly,un
3984,urge international community persevere cause accept fait accompli imposed viet nam,security
3985,develop demonstrate make available guyana international community systems methods techniques sustainable utilization multiple resources tropical forest conservation biological diversity,development
3986,following review mdgs also,un
3987,implementation programmes action initiated,un
3988,union,un
3989,sir warmest congratulations greek government election,greeting
3990,treaty,security
3991,strictly observed implemented,development
3992,communications opening frontiers,security
3993,integrating continent unified korea could set,security
3994,head state repeated decision hand power elected free sovereign people guatemala,democracy
3995,therefore believe rededication efforts would contribute maintaining momentum tenth special session principle practice,security
3996,debts highly indebted poor countries,development
3997,created task force subject,security
3998,regular air maritime travel,security
3999,terrorism state protects,security
4000,united nations successes east timor,un
4001,furthermore welcome decision taken fortyfifth session general assembly give namibia special consideration support economic social development,development
4002,leads divisions within countries intolerance racial,security
4003,weapons mass destruction,security
4004,sustainable development possible active,development
4005,rights palestinian people state based,security
4006,spain firmly supports resolutions adopted,security
4007,bosnia herzegovina united,security
4008,cross purposes must also return original role,security
4009,japan supports efforts principals involved south africa towards establishment free democratic regime regime apartheid fully eradicated,security
4010,political exist halt reverse deadly affects drug abuse societies stem violence engenders,security
4011,president obama say us providing security country allies,un
4012,reduce energy needs per cent per cent well lowering carbon dependency,development
4013,subsequently united nations recognized palestine liberation organization plq legitimate representative palestinian people thus paving way participation palestinian people legitimate representative peace process,security
4014,us peace security indeed crucial,security
4015,important area inactivity lasted long period solution last found organizational questions affecting special committee peacekeeping operations,security
4016,rapid deployment force whose utilization early,security
4017,years since termination korean war united nations still fulfilling responsibility direct party armistice agreement enforcing securing armistice line thereby contributing peace region,security
4018,woman first elected president iceland,democracy
4019,indignation protest triggered world export toxic wastes shown growing awareness within international community major risks humanity posed deterioration quality life atmospheric pollution one obvious manifestations,security
4020,shown moral courage pursued send,human
4021,objective preserve peace among nations,security
4022,aggressive policy rivalry two,security
4023,playing central role needed,un
4024,reconciliation without reconciliation,security
4025,earnest hope nuclearweapon states accede,security
4026,integrated treatment interrelated issues,security
4027,security council assumed leading role,security
4028,going say assembly,un
4029,international conference great lakes region,development
4030,states irrefutable evidence corroborated,human
4031,achieved incorporation declaration heads,un
4032,founding member united nations council namibia turkey reaffirms solidarity struggle people namibia independence leadership swapo,security
4033,federal chancellor willy brandt paved way,development
4034,frontline states approached lengthy delicate,development
4035,air corridor protect relief supplies innocent civilians aerial,human
4036,consultations contacts useful therefore cannot praise actions secretarygeneral,un
4037,meaningful legally binding agreement emissions,security
4038,giving privileges sharing wealth power new,un
4039,lebanese crisis lead us close eyes seal facts palestinian problem solution inconceivable outside context recognition satisfaction inalienable rights assembly recognred belonging palestinian people,security
4040,good ethiopian eritrean peoples,security
4041,production acquisition increasingly,security
4042,within internationally recognized borders would,security
4043,would also like pay tribute secretarygeneral,un
4044,year,development
4045,illegal trade small arms light weapons,security
4046,assure support,security
4047,marshall islands consists predominantly low,development
4048,regard welcome report,greeting
4049,make concerted effort find solution,development
4050,k december moratorium,security
4051,whereas,un
4052,serious situation many countries face,development
4053,measures must tackle symptoms crisis also root causes consistent longterm policy objectives,development
4054,delegation successfully submitted follow,greeting
4055,president guide work general assembly,un
4056,attend conference promote implementation,development
4057,particular ask member states respond positively appeal secretarygeneral additional voluntary contributions unficyp,un
4058,united nations expected play instrumental role search solution,un
4059,suffer consequences ruined lives youth,security
4060,matter years awakened risk may irreversible harm natural order sustains life upon planet,security
4061,acknowledge legitimacy principle,security
4062,proof conferences held manila nairobi colombo mexico,human
4063,regulates aspect economic activity,development
4064,proposed action agreed united nations,un
4065,despite efforts already made,security
4066,larger faster vessels capable carrying,security
4067,importance attach issue see,un
4068,express sincere appreciation excellency mr alnasser dedication oneyear,greeting
4069,implementation plan much expected states achieved vast results application science technology,security
4070,framework realizing potential,development
4071,every step forward advance towards promotion human dignity realization full value man,greeting
4072,reconsider matter full detail view putting end,security
4073,ones stood iraq,security
4074,logistic means,un
4075,successful let us work together trust one another good mankind,security
4076,guarantee lasting stability region,security
4077,important outcome document indicative international,development
4078,watch physicians human rights,human
4079,united nations fulfil charter obligations,un
4080,exist sides,security
4081,nigerias call fundamental change current,security
4082,smaller countries like mine venezuela legitimate reasons express disappointment call proper compliance purposes principles united nations demand correction process view object historic distortion powers played major role creation organization steering away original course promoting paradoxically international pattern unilateral advantages faits accomplis,security
4083,reconstruction effort urge nations,security
4084,regional coordination mechanisms relatively,security
4085,three people young old mothers babies,development
4086,phenomena,un
4087,fact spokesman movement mobilized tens thousands,security
4088,economic,development
4089,systems thereby suppressing,security
4090,security,security
4091,societies viable,security
4092,transfer clean technologies great importance,security
4093,becomes obvious countries directly concerned questions involving conservation marine resources definition limits continental shelf territorial sea adjacent zones,development
4094,new millennium,development
4095,peace must considerable strengthening,security
4096,way full cooperation international community,security
4097,even sent forced exile,security
4098,persistence poverty denial,development
4099,development documents essential,development
4100,consequences floods affected,development
4101,charter united nations,un
4102,although,un
4103,demand change heard villages,human
4104,membership organization,un
4105,always succeed preventing conflict,security
4106,groups continue obtain sanctuary,human
4107,annual general debate general assembly,un
4108,kiribati committed within resource,un
4109,contribute giving international year lasting,un
4110,unpredictable threats may,security
4111,economy building new institutions,development
4112,regard côte divoire believes president alassane ouattara often said time reform security council effective representative todays world,un
4113,win completely,democracy
4114,good intentions rational management,security
4115,syndicates,un
4116,therefore strongly,development
4117,rights spoke favour establishing post,un
4118,organization african unity oau condemning,un
4119,still strongly felt much world,security
4120,peru campaign gradual reduction,security
4121,since questioned assembly last year,greeting
4122,solidarity azerbaijan rounds,security
4123,control illegal immigration,security
4124,must persevere actions aimed fiscal control drug dealers bank accounts,un
4125,government favour urgent action taken apply confidence securitybuilding measures high seas,development
4126,factors opinion allowed us set,un
4127,many,development
4128,reprisal group continues conakry carry mission,security
4129,challenges,development
4130,terrorism violent extremism without doubt serious challenges face today,security
4131,attainment productive employment,security
4132,must reflect messages policies respond bravely determination,un
4133,african republic bordering,security
4134,supreme military council well aware organized young people way make conscious national realities participate effectively struggle development,democracy
4135,governments commitment namibias right selfdetermination independence remains unchanged,security
4136,let assure,development
4137,nevertheless intraregional intranational conflicts continue,security
4138,world always potential source conflict,security
4139,success meeting challenge course requires unanimous commitment nations world collectively individually fight pollution hope cases scourges also war terrorism hunger disease poverty ignorance collective promote building world peace justice security,security
4140,would exaggeration say united nations new important phase development,development
4141,regards national policy,security
4142,international cooperation must seek dry,security
4143,gaza,security
4144,conference,development
4145,recently benghazi attacks principle,security
4146,nations must undertake structural reforms,development
4147,cooperation united nations,security
4148,reactive,un
4149,said immediate blows defenders freedom would precipitate defeat castros control island,security
4150,let god praised,greeting
4151,finally advocates reaffirmation democratic system characterized principle sovereignty resides people follows times political pluralism must genuine expression sovereign power guaranteed right vote,democracy
4152,wellarticulated mentioned secretary,un
4153,civilians gaza hospitals,security
4154,remaining launched southern sectors iraq,security
4155,president government djibouti solve,democracy
4156,development recognized agenda plan action,development
4157,community nations far fulfilled promise contained charter save succeeding generations scourge war,security
4158,assure kingdom tongas cooperation,development
4159,thus despite various initiatives proposals begun implemented may useful future reference foreigndebt crisis gets worse,security
4160,country believes declaration,security
4161,state israel right exist live,security
4162,suffice say voice general assembly must heard loud clear support concrete measures promote disarmament divert resources armament development,security
4163,nineteenth summit heads state government,democracy
4164,saw recent term security council council works effectively acts one,un
4165,serious suspicions regard iranian position aroused statements made iranian leaders explain decision accept security council resolution,security
4166,solution conflict since,security
4167,rwandese republic found ranks already worked hard true decolonization leads better conditions development progress,un
4168,followed position neutrality middle east,security
4169,time,un
4170,indicate leaders considered various challenges,development
4171,paneuropean regional character,un
4172,defend effectively,security
4173,disappointed scant attention paid interests,un
4174,connection belize proud contribution host,development
4175,effective manner guided work,democracy
4176,particular pleased convey name behalf country warmest greetings sincerest best wishes mr javier perez de cuellar,greeting
4177,seychelles therefore renews commitment ensuring violations go unanswered,security
4178,pleased see office,greeting
4179,true lofty ideals nonaligned movement grown significant component struggle,un
4180,objectives,development
4181,negotiations result genuine international cooperation effective implementation international development strategy third decade,security
4182,members aware enough,un
4183,refer drug,security
4184,whole international community better,security
4185,emphasize however look upon nationalization c end conception cooperation development important role private foreign domestic investment,development
4186,era lebanese crisis,security
4187,condemned strongest possible terms,un
4188,africa remains producer smallbit exporter primary products,development
4189,issues whole world,security
4190,security one country however powerful enhanced desperate insecurity neighbors,security
4191,actions,un
4192,easy process,security
4193,session assembly consider problem rebuilding revitalising united nations,un
4194,development rather promotion hidden,development
4195,also attach special importance strengthening position role women society prevention violence women child protection development fight discrimination lesbian gay bisexual transgender intersex population individuals disabilities,human
4196,disappointment frustration field,un
4197,far,security
4198,used past,un
4199,well better living conditions generally,security
4200,today fulfill duty demanded us historic circumstances inform mr president representatives assembly nations earth proposals conveyed us salvadorian patriots,greeting
4201,setbacks new exclusions would pose threat,security
4202,tourism sector generates per cent fijis,development
4203,importance reform body part,un
4204,come remove last vestige coldwar rivalry,security
4205,thus join group development donors,development
4206,apv,security
4207,committee,un
4208,session general assembly reaffirming,un
4209,impede humanitarian operations programmes national,security
4210,bolivia recognizes throughout years,development
4211,kyoto process way,development
4212,present number global issues,security
4213,schools hospitals bridges farms power plants even united nations financed settlement projects nomads spared,development
4214,doubt political changes highly positive concrete value third world attribute new dimensions international horizon,security
4215,allow pay special tribute outgoing,un
4216,roots,development
4217,working methods made considerable progress,un
4218,real economic growth rate african countries remains,development
4219,developing world also,development
4220,united nations headquarters early june,development
4221,vulnerable people fulfilled,human
4222,international force separate warring factions congo,security
4223,national international levels,security
4224,war recourse commonly used humanity,security
4225,today developing countries suffering socioeconomic crises causing great damage,development
4226,translate,un
4227,wider asiapacific region,security
4228,united nations,un
4229,neighbours must brethren,human
4230,viet nam declared would withdraw forces kampuchea twice sent voluntary forces help kampuchean people common anticolonialist antiimperialist struggle independence freedom two countries,security
4231,stability country,security
4232,particular relevance included agenda,development
4233,capacity arise coherence,development
4234,slogan african solutions african problems must,development
4235,beginning first world war years since,security
4236,document august country continues extend full,development
4237,solution sought tune present international situation,security
4238,success,security
4239,important every member state affirm,un
4240,operation court remarkably successful,security
4241,enough,development
4242,may mr president first express delegations great satisfaction pleasure election presidency session general assembly,greeting
4243,united states united kingdom,security
4244,realignment,security
4245,development goals set millennium,development
4246,conclusion would like thank,greeting
4247,commander must recognition national,un
4248,attention water energy problems,development
4249,humankind must enter new age,greeting
4250,neither cooperation sectors society,development
4251,possible without regional unity,security
4252,since beginning year united nations security council done much work thanks joint efforts made overwhelming majority member states,un
4253,sidelining circumventing,security
4254,end current session,security
4255,gratifying note increased activity growing role small mediumsized countries asia well,development
4256,look forward peace region would serve,security
4257,today,un
4258,collective measures respect,un
4259,nations represented fulfil responsibility,un
4260,positive conclusions include firm global,development
4261,responsibility realize vision better world,un
4262,comprehensive peace remains provided,security
4263,managed offer two sides platform,development
4264,supported implemented pacific island nations,development
4265,end propose establishment fund voluntary contributions made states members organization countries recognized recognize,un
4266,commonwealth dominica need complete reconstruction,security
4267,points capable vehicular traffic,security
4268,firmly believe need strong solid committed multilateral system ensures financial technical support,development
4269,conditions peace,security
4270,underdevelopment overcome conditions,development
4271,expressed also joint declaration governments finland sweden norway occasion,security
4272,incomplete,greeting
4273,frustrated peacemakers,security
4274,wealthy powerful states guardian,development
4275,regrettable countries easily,un
4276,second session general assembly seem like hive,un
4277,economies competitive investment,development
4278,venezuela struggling,development
4279,worst human atrocities,security
4280,elemental urge like freedom starvation want ultimate objective every society,security
4281,people rallying people around,democracy
4282,year,development
4283,world particularly europe east asia middle east developed strong common interest preventing outbreak nuclear war,security
4284,excellency mr antonio guterres secretarygeneral united nations,un
4285,recently shown make positive changes,security
4286,name people government president behalf wish convey solidarity sincere condolences,greeting
4287,newly elected president general assembly,democracy
4288,precondition security officials legitimate,security
4289,longterm consequences cannot,development
4290,although four years elapsed since general assembly resolved establish new international economic order see resolutions svl svi wide gap still exists decided respect possible achieve practice,un
4291,republic armenia aggression,security
4292,engender collective approach,un
4293,let recall israel invaded,security
4294,conclusion peace agreement,security
4295,territorial integrity lebanon,security
4296,always resorted diplomatic solutions accordance,security
4297,greater efficiency achieved,un
4298,fair general elections country,democracy
4299,reaction forces additional strategic lift better logistics,security
4300,democracy stability iraq,security
4301,promotion protection human rights,human
4302,convinced already demonstrated,un
4303,willing contribute towards end,security
4304,unique,human
4305,opposition leader shows agreement already,un
4306,korean peninsula encourage current efforts made towards peaceful reunification korean nation,security
4307,proved assistance viet nam cuba angola,security
4308,decades efforts regulate interamerican,security
4309,flows desire see democratization,democracy
4310,continue following secretarygenerals,un
4311,defined borders,un
4312,whole picture,development
4313,unfortunately however actions superpowers show claims nonfirst use reduction control arms expenditure limitation number submarinelaunched ballistic missiles nothing empty political gesture designed publicity purposes,security
4314,fact life world never enjoy real political détente without economic security,un
4315,respond threat posed territorial integrity,human
4316,ways integrating security development,security
4317,yugoslavia must scrupulously adhered,security
4318,must seen within context precarious world energy supply,development
4319,implementation relevant resolutions order uphold principles justice selfdetermination independence,human
4320,though northsouth dialogue conference international economic cooperation fourth session unctad proved negative far hope better counsels prevail future,development
4321,people everywhere,human
4322,troubled places,development
4323,success operation facilitating movements,security
4324,humanitarian politicoanthropological,human
4325,security council longer serve,un
4326,elections went well burundi preparation held afterwards acts sabotage country fell victim machinations politicians whose plan simply destabilize institutions,security
4327,definitive resolution palestinian,security
4328,secure borders peace middle east,security
4329,profoundly altered global environment,security
4330,abundantly clear,security
4331,durable peace,security
4332,public perception united nations confidence consequently greatly enhanced,security
4333,country made irrevocable choice long ago,development
4334,people thanks rectangular strategy,greeting
4335,reason ecuador welcomes,greeting
4336,weight,security
4337,would case even relatively small part existing nuclear arsenals used weapons used socalled counterforce military targets,security
4338,resolutions relating situation iraq,security
4339,structures,un
4340,exercise free choice determine system,democracy
4341,seem differ sense urgency,development
4342,power either unilaterally small groups,democracy
4343,failures without united nations would,un
4344,agendas,development
4345,generally accepted momentum generated paris conference kept initial results built upon durable peace stability cambodia well southeast asia whole restored soon,security
4346,beginning biocentrism,development
4347,noted concern bewildering,un
4348,priority political diplomatic methods,security
4349,differences due also varying assessments effectiveness organ charter attributes primary responsibility maintenance international peace security namely security council,security
4350,international community urged north korea abandon,security
4351,practices plunged continent war,security
4352,also appeal bretton woods system,development
4353,average worker made senior executive paid million,development
4354,commitments terms resources early implementation,development
4355,implementation timetable comprehensive,development
4356,streamlined fashion late,development
4357,end idea finds favor government proposes invite developing nations attend conference jamaica discuss ways means implementing proposal,development
4358,consecutive conferences held,development
4359,interpreted complex situations,development
4360,industrial countries subsidize farmers produce food nobody wants sell cost production,development
4361,constitute categorical evidence us states,un
4362,intraafrican trade must stimulated,development
4363,false democracy elites furthermore original,democracy
4364,meaningful joyful lasting,security
4365,endorse idea converting northern europe balkans tho mediterranean denuclearized zones furthermore hope,security
4366,though insufficient taken context,human
4367,japans decline would loss,development
4368,necessary financial assistance bring end,development
4369,address concern,un
4370,like behalf togolese government,security
4371,notable exceptions,human
4372,together estonia latvia,development
4373,remiss express gratitude warm support principled position movement nonaligned countries cyprus problem,security
4374,leads forthcoming world summit,development
4375,united nations play active role,un
4376,regrettably bound note arms race invention increasingly sophisticated weapons perfection atomic weapons societies become daily practices point threat thermonuclear conflagration remains suspended heads like sword damocles,security
4377,fish stocks highly migratory fish stocks,development
4378,position rejecting terrorism forms,security
4379,country barbados birthplace programme,development
4380,eastern sea viet nam always considered,security
4381,governability countries,development
4382,sincerely wonder trying relive berlin,human
4383,done brings benefits parties concerned advantageous peoples since serves cause peace progress,security
4384,existing international problems importance,security
4385,people chad atmosphere,security
4386,consequently legitimate interests usually become subordinated interests superpowers global schemes,un
4387,infringement national rights also,security
4388,prime minister barak president arafat,greeting
4389,armed conflicts imperative uphold respect,security
4390,applaud basic,greeting
4391,system responds promptly effectively,security
4392,often frequent temptation recall diplomats,security
4393,million children lost valuable schooling skills development time,development
4394,also witnessed reinvigoration organization african unity convening nineteenth assembly heads state government last june addis ababa twoyear impasse,democracy
4395,among principles note especially right every people control fate,security
4396,suriname lowlying,development
4397,organization regard,un
4398,ensured,development
4399,convinced vast knowledge experience ensure success deliberations,greeting
4400,adoption effective measures united nations expel south africa namibia become obviously urgent since pretoria systematically flouted relevant decisions resolutions international community used continuing use territory namibia base aggression african countries,security
4401,party international agreements terrorism,security
4402,peacekeeping operations,security
4403,enough speaking speculative new international economic order nobody understands must speak real objective order everybody understands,security
4404,therefore deem necessary adoption urgent appropriate measures alleviate situation countries chance also importers consequences inherent present crisis capitalist economy,development
4405,following recent phases particularly regards,development
4406,also welcome saint vincent grenadines membership organization look forward positive contribution activities united nations,greeting
4407,rights frustrated people continue opposed requirements security ever defined,security
4408,occasion faced problems differing magnitude urgency understanding must unflagging keeping principles past years remained unchanged,security
4409,study alternatives panama canal,security
4410,rostrum call upon president alassad resume,un
4411,prevention punishment crime genocide,security
4412,nations decade eradication poverty,development
4413,counting dialog lead lebanon bo calmer waters pinning great hopes wisdom leaders heads various political factions,security
4414,africa elsewhere proving largescale,development
4415,women broader needs women,human
4416,acknowledge course action adopted could create economic hardship,development
4417,accordingly central african republic country pleased recent establishment pool press agencies third world modify situation end decolonization regard information set new international order realm,security
4418,making world safe inconceivable without chemical disarmament,security
4419,regard face real test,security
4420,eight,development
4421,however limited powers,security
4422,old order come end face,security
4423,instead deterrent risk becoming simply,security
4424,make appeal,un
4425,fourthly open negotiations pakistan,security
4426,however despite,security
4427,aspects expansion council well,un
4428,makes imperative possibilities created states irrespective strength size potential social system may directly participate choosing ways means implementing measures capable ensuring general progress mankind atmosphere peace understanding,un
4429,profit exploring motives seeking control age practising traditional diplomacy displaced incompatible factions determined participate whose precipitate pace set warning ancient egyptian sundial later think,security
4430,early september honour act host second summit la francophonie quebec city condemned apartheid established scholarship programme black south africans,security
4431,international parties supporting path towards,security
4432,want stable,security
4433,security council,security
4434,present perceive auspicious tendencies international affairs,security
4435,years successors able praise,greeting
4436,nonpermanent members well among regional,development
4437,richly deserved nobel peace prize awarded,un
4438,subsequently also frank exchange views israeli leadership,security
4439,occupation numerous efforts undertaken,security
4440,threat peace act aggression thus,security
4441,council must reviewed,un
4442,issues,un
4443,electricity well beyond countrys needs,security
4444,favourable results,security
4445,process must activated,security
4446,current tenure able peacefully,security
4447,world,un
4448,efforts establish arms control disarmament fruitless,security
4449,united nations remains choice last resort hope provide political necessary commitment address challenges,un
4450,wealthy countries,development
4451,saw beginning era negotiation could see last beginning era collective action maintenance peace collective action based common desire powerful nations world work together political stability settlement disputes,security
4452,results crisis afflicted poorest nations,development
4453,thus peoples many developing countries cast abyss economic wretchedness ill health servile labour ignorance nourishment must also bear arbitrariness oppression rule,development
4454,innocent persons affected conflicts particular,human
4455,establishment post high commissioner human,un
4456,contradictions differences difficulties exist,development
4457,political power,democracy
4458,one countries needed ensure,security
4459,consequently,un
4460,brothers unify ranks order initiate,greeting
4461,part shall support solutions adopted parties without outside pressure,security
4462,civilized stance wisdom tolerance,un
4463,without modifications way guarantees,human
4464,mdgs triggered level global commitment,development
4465,suffering global scale,security
4466,climate change regarded,development
4467,contributions share global gross national product,development
4468,homes lack shelter food medical,development
4469,east,development
4470,union,un
4471,result absence cultural dimension,security
4472,state government harare last may providing,human
4473,independence sovereignty territorial integrity bosnia,security
4474,philosophy dependence worse colonialism,development
4475,incapable conforming democratic rules,democracy
4476,constituted first step restoring order,security
4477,order quite different,security
4478,already seen work united nations,un
4479,expected results,development
4480,longer right remain indifferent painful tragic problem liable reason insupportable explosive nature plunge us inevitably open warfare attendant suffering,security
4481,recurrent severe political instability guinea,security
4482,contrary irrevocable conviction constitutional mandate democratic system turn encourages improves equality justice venezuelan democracy,democracy
4483,present situation pakistan reconfirms,security
4484,history,security
4485,challenge nations mist meet together,security
4486,termed institutional crisis since reflected lack trust international institutions,development
4487,urgent task time prevention nuclear war,security
4488,confident political,democracy
4489,assessment world situation drawn,development
4490,personnel vehicles tanks handed,security
4491,manner provide global response matches,security
4492,lesson,development
4493,attention nevertheless highly,security
4494,however contrary charter united,un
4495,agreement aimed giving fresh impetus central,security
4496,ill raised new hopes created conditions conducive better awareness peoples importance peace wellbeing continued development,security
4497,long international order world divided graded political economic levels real progress towards international cooperation,development
4498,forces former president sassounguesso demanded,greeting
4499,improved past decade,un
4500,means reaching favourable solution,development
4501,confronting china,development
4502,efforts african countries international,development
4503,would comforting,un
4504,country pleased receive,development
4505,process guarantor internal agreements,un
4506,regards conflict middle east initial steps taken towards comprehensive settlement,security
4507,central role,un
4508,constructive uses energy forgotten,greeting
4509,world bank forecasts,development
